listing_id,published_at,closed_at,status,deal_type,city,district,address,lat,lon,rooms,floor,floors_total,area_total,area_kitchen,price,currency,price_uah,agent_id,agency,contact_phone,source,description
L100019,2024-03-14,NA,active,sale,Odesa,Prymorskyi,"vul. Sichovykh Striltsiv, 23",46.497045,30.694129,2,3,5,162,29,234575,USD,8796562,AG6966,PrimeEstate,380668241607,portal_b,"Great location in Odesa. 2 rooms, 3 floor. Well renovated."
L100020,2024-05-14,NA,active,rent,Odesa,Suvorovskyi,"vul. Peremohy, 25",46.484841,30.720992,4,7,25,57,14,336,USD,NA,AG6805,PrimeEstate,380737045175,portal_b,"Spacious apartment near metro. 57 sq.m, 4 rooms. Excellent condition."
L100021,2024-05-13,NA,active,sale,Kyiv,Holosiivskyi,"vul. Soborna, 98",50.392473,30.534651,5,14,15,68,13,3678668,UAH,3678668,NA,NA,380913133898,portal_a,"Great location in Kyiv. 5 rooms, 14 floor. Well renovated."
L100022,2024-06-13,2024-07-26,closed,rent,Lviv,Frankivskyi,"vul. Lesi Ukrainky, 45",49.823625,24.019683,5,6,17,87,14,740,USD,27750,AG2017,RealtyPro,380601937027,portal_c,"Spacious apartment near metro. 87 sq.m, 5 rooms. Excellent condition."
L100023,2024-05-12,2024-06-01,withdrawn,sale,Lviv,Sykhivskyi,"vul. Lesi Ukrainky, 84",49.804298,24.043595,3,7,17,55,9,73218,EUR,2987294,AG9944,RealtyPro,380522238129,portal_b,"Perfect for families. 3-bedroom apartment, 7/17 floor."
L100024,2024-03-30,2024-04-29,closed,rent,Odesa,Suvorovskyi,"vul. Sichovykh Striltsiv, 129",46.526952,30.772529,3,2,9,43,9,10975,UAH,10975,AG1272,RealtyPro,380993533356,portal_b,"Modern design, all amenities. Suvorovskyi, 43 sq.m."
L100025,2024-01-12,NA,active,rent,Lviv,Lychakivskyi,"vul. Khreshchatyk, 8",49.868786,24.020515,1,22,22,53,NA,13414,UAH,NA,AG3065,RealtyPro,380998511527,portal_b,"Modern design, all amenities. Lychakivskyi, 53 sq.m."
L100026,2024-05-24,2024-07-20,closed,rent,Odesa,Malynovskyi,"vul. Bandery, 83",46.528784,30.695947,3,13,14,49,7,297,USD,11138,AG5786,CityRealty,380881533310,portal_b,"Spacious apartment near metro. 49 sq.m, 3 rooms. Excellent condition."
L100027,2024-06-02,NA,active,sale,Kyiv,Shevchenkivskyi,"vul. Franka, 116",50.459197,30.588257,4,4,21,123,26,128046,USD,4801725,AG2255,PrimeEstate,380847388214,portal_a,"Spacious apartment near metro. 123 sq.m, 4 rooms. Excellent condition."
L100028,2024-04-24,NA,active,sale,Lviv,Shevchenkivskyi,"vul. Teatralna, 97",49.807511,24.056029,4,15,15,76,13,2806144,UAH,2806144,AG5449,PrimeEstate,380909186139,portal_b,"Great location in Lviv. 4 rooms, 15 floor. Well renovated."
L100029,2024-01-20,NA,active,rent,Kyiv,Obolonskyi,"vul. Peremohy, 30",NA,30.577128,1,4,5,45,NA,10201,UAH,10201,AG7235,EstateGroup,380807989680,portal_a,"Spacious apartment near metro. 45 sq.m, 1 rooms. Excellent condition."
L100030,2024-01-10,NA,active,rent,Lviv,Halytskyi,"vul. Heroiv, 34",49.81499,24.051854,1,4,22,60,12,420,EUR,17136,NA,NA,380546732517,portal_a,"Perfect for families. 1-bedroom apartment, 4/22 floor."
L100031,2024-06-25,NA,active,rent,Odesa,Malynovskyi,"vul. Mira, 35",46.442269,30.754857,5,11,11,70,NA,501,USD,18788,AG5055,CityRealty,380879838680,portal_c,"Great location in Odesa. 5 rooms, 10 floor. Well renovated."
L100032,2024-06-20,NA,active,rent,Odesa,Malynovskyi,"vul. Shevchenka, 145",NA,30.727742,2,3,10,77,10,21701,UAH,21701,AG1749,EstateGroup,380523508256,portal_a,"Modern design, all amenities. Malynovskyi, 77 sq.m."
L100033,2024-06-25,NA,active,sale,Kyiv,Desnianskyi,"vul. Parkova, 44",50.479422,NA,1,7,13,60,NA,55231,EUR,2253425,NA,NA,380966960236,portal_c,"Great location in Kyiv. 1 rooms, 7 floor. Well renovated."
L100034,2024-05-28,NA,withdrawn,rent,Lviv,Frankivskyi,"vul. Mira, 33",49.840095,24.0323,5,11,11,71,NA,473,EUR,19298,AG8091,UrbanHouse,380771462494,portal_b,"Perfect for families. 5-bedroom apartment, 11/11 floor."
L100035,2024-06-24,NA,active,rent,Lwiv,Lychakivskyi,"vul. Khreshchatyk, 11",49.861998,23.994369,2,3,24,83,NA,17856,UAH,17856,AG2552,RealtyPro,380923097745,portal_c,"Perfect for families. 2-bedroom apartment, 3/24 floor."
L100036,2024-03-27,NA,active,sale,Odesa,Malynovskyi,"vul. Shevchenka, 120",46.475857,NA,2,4,6,33,4,1727364,UAH,1727364,AG9063,HomeCenter,380523390037,portal_a,"Spacious apartment near metro. 33 sq.m, 2 rooms. Excellent condition."
L100037,2024-02-06,NA,active,sale,Lviv,Shevchenkivskyi,"vul. Soborna, 27",49.853382,23.9909,1,6,6,63,11,75696,USD,2838600,AG4427,CityRealty,380877392898,portal_b,Comfortable 1-room apartment in Shevchenkivskyi district. Total area 63 sq.m.
L100038,2024-06-26,NA,active,sale,Lviv,Frankivskyi,"vul. Teatralna, 8",49.878653,24.056014,4,4,5,43,8,51044,EUR,2082595,AG2481,RealtyPro,380686688427,portal_a,"Modern design, all amenities. Frankivskyi, 43 sq.m."
L100039,2024-05-08,NA,active,rent,Odesa,Prymorskyi,"vul. Shevchenka, 107",46.500422,30.745055,2,5,16,61,14,12846,UAH,12846,AG6017,HomeCenter,380689209079,portal_a,"Spacious apartment near metro. 61 sq.m, 2 rooms. Excellent condition."
L100040,2024-04-17,NA,withdrawn,sale,Kyiv,Holosiivskyi,"vul. Bandery, 121",50.415643,30.448591,2,7,18,74,15,69221,EUR,2824217,AG5376,RealtyPro,380594970248,portal_b,"Spacious apartment near metro. 74 sq.m, 2 rooms. Excellent condition."
L100041,2024-05-07,2024-05-25,closed,rent,Odesa,Kiiivskyi,"vul. Soborna, 119",46.509086,30.749972,5,11,25,62,9,389,EUR,15871,NA,PrimeEstate,380729329974,portal_a,"Modern design, all amenities. Kiiivskyi, 62 sq.m."
L100042,2024-02-20,2024-03-16,closed,sale,Odessa,Suvorovskyi,"vul. Soborna, 125",46.482611,30.755772,1,1,23,65,11,2642414,UAH,2642414,AG8988,PrimeEstate,380684028422,portal_a,"Spacious apartment near metro. 65 sq.m, 1 rooms. Excellent condition."
L100043,2024-02-26,2024-04-25,closed,sale,Lviv,Halytskyi,"vul. Khreshchatyk, 101",49.845011,24.025526,3,17,21,35,6,40316,USD,1511850,AG9658,HomeCenter,380626311945,portal_c,Comfortable 3-room apartment in Halytskyi district. Total area 35 sq.m.
L100044,2024-02-15,2024-04-04,closed,sale,Kyiv,Sviatoshynskyi,"vul. Shevchenka, 11",50.522785,30.492742,5,5,18,90,14,91890,EUR,3749112,AG7081,EstateGroup,380876710904,portal_a,"Great location in Kyiv. 5 rooms, 5 floor. Well renovated."
L100045,2024-04-06,NA,active,rent,Kyiv,Sviatoshynskyi,"vul. Soborna, 141",50.413422,30.483763,4,8,13,55,8,311,EUR,12689,AG2132,EstateGroup,380683361750,portal_c,"Spacious apartment near metro. 55 sq.m, 4 rooms. Excellent condition."
L100046,2024-03-07,2024-04-12,closed,rent,Odesa,Malynovskyi,"vul. Sichovykh Striltsiv, 52",46.493895,30.746181,3,2,14,35,4,234,USD,8775,AG7619,CityRealty,380794041170,portal_b,"Great location in Odesa. 3 rooms, 2 floor. Well renovated."
L100047,2024-03-29,2024-05-24,closed,sale,Odesa,Prymorskyi,"vul. Peremohy, 41",46.46337,30.743177,2,10,25,45,9,52318,USD,1961925,AG9223,UrbanHouse,380854110990,portal_c,Comfortable 2-room apartment in Prymorskyi district. Total area 45 sq.m.
L100048,2024-06-18,2024-07-23,withdrawn,rent,Odesa,Kiiivskyi,"vul. Soborna, 133",NA,30.692145,3,10,15,41,9,11246,UAH,11246,AG5855,UrbanHouse,380775505815,portal_c,"Great location in Odesa. 3 rooms, 10 floor. Well renovated."
L100049,2024-03-06,2024-04-01,closed,rent,Lviv,Halytskyi,"vul. Parkova, 109",49.860062,24.042607,4,12,16,44,9,256,EUR,10445,AG2952,PrimeEstate,380744219757,portal_a,Comfortable 4-room apartment in Halytskyi district. Total area 44 sq.m.
L100050,2024-02-02,2024-02-14,closed,sale,Lviv,Shevchenkivskyi,"vul. Lesi Ukrainky, 21",49.800794,NA,1,21,22,65,NA,85273,USD,3197738,AG1232,CityRealty,380867620074,portal_a,"Spacious apartment near metro. 65 sq.m, 1 rooms. Excellent condition."
L100051,2024-06-26,2024-07-29,closed,rent,Lviv,Halytskyi,"vul. Parkova, 8",49.859534,24.04446,5,15,19,91,11,516,USD,19350,NA,NA,380686652598,portal_a,"Spacious apartment near metro. 91 sq.m, 5 rooms. Excellent condition."
L100052,2024-05-11,NA,active,sale,Lviv,Frankivskyi,"vul. Teatralna, 58",49.86682,24.05733,5,5,9,89,12,101165,USD,3793688,AG7283,RealtyPro,380998314467,portal_b,"Perfect for families. 5-bedroom apartment, 5/9 floor."
L100053,2024-01-04,NA,active,rent,Kyiv,Shevchenkivskyi,"vul. Parkova, 47",50.512182,30.455604,1,10,21,117,23,553,EUR,22562,AG1294,HomeCenter,380596190854,portal_c,"Modern design, all amenities. Shevchenkivskyi, 117 sq.m."
L100054,2024-03-13,NA,active,sale,Lviv,Frankivskyi,"vul. Soborna, 29",49.817642,24.066307,5,8,19,121,20,141070,EUR,5755656,AG2988,PrimeEstate,380619614872,portal_b,"Great location in Lviv. 5 rooms, 8 floor. Well renovated."
L100055,2024-02-16,2024-04-05,closed,rent,Odesa,Kiiivskyi,"vul. Sichovykh Striltsiv, 17",46.501827,30.732519,4,3,24,57,12,314,USD,11775,AG3518,HomeCenter,380871596569,portal_c,"Spacious apartment near metro. 57 sq.m, 4 rooms. Excellent condition."
L100056,2024-03-24,NA,closed,sale,Kyiv,Sviatoshynskyi,"vul. Soborna, 13",50.384046,30.583003,2,1,5,97,16,94684,EUR,3863107,AG8030,HomeCenter,380982459509,portal_b,Comfortable 2-room apartment in Sviatoshynskyi district. Total area 97 sq.m.
L100057,2024-05-06,NA,active,sale,Lviv,Shevchenkivskyi,"vul. Shevchenka, 116",49.865896,24.027209,1,7,19,156,34,203708,EUR,8311286,NA,EstateGroup,380685690479,portal_b,Comfortable 1-room apartment in Shevchenkivskyi district. Total area 156 sq.m.
L100058,2024-01-30,NA,withdrawn,rent,Odesa,Malynovskyi,"vul. Teatralna, 92",46.513044,30.686583,2,5,20,110,20,727,USD,27262,AG8599,PrimeEstate,380726975588,portal_a,"Modern design, all amenities. Malynovskyi, 110 sq.m."
L100059,2024-02-18,2024-02-21,closed,rent,Kyiv,Pecherskyi,"vul. Bandery, 51",50.510452,30.577246,3,14,19,97,19,19626,UAH,19626,AG8867,PrimeEstate,380628736741,portal_b,"Modern design, all amenities. Pecherskyi, 97 sq.m."
L100060,2024-06-23,2024-07-19,closed,rent,Kyiv,Darnytskyi,"vul. Shevchenka, 77",50.48972,30.580314,1,5,19,51,11,15204,UAH,15204,AG6602,HomeCenter,380828090408,portal_a,"Great location in Kyiv. 1 rooms, 5 floor. Well renovated."
L100061,2024-02-25,2024-04-25,closed,sale,Kyiv,Shevchenkivskyi,"vul. Heroiv, 12",50.397098,30.489369,3,25,25,58,13,2918769,UAH,2918769,AG6402,HomeCenter,380918237697,portal_a,"Spacious apartment near metro. 58 sq.m, 3 rooms. Excellent condition."
L100062,2024-06-23,2024-06-27,closed,sale,Odesa,Kiiivskyi,"vul. Parkova, 109",46.444979,NA,2,9,20,21,3,898109,UAH,898109,AG7541,HomeCenter,380703779928,portal_a,"Spacious apartment near metro. 21 sq.m, 2 rooms. Excellent condition."
L100063,2024-03-08,NA,active,rent,Lviv,Halytskyi,"vul. Shevchenka, 127",49.824639,24.024889,3,12,18,81,18,407,EUR,16606,AG6987,PrimeEstate,380699974984,portal_b,"Perfect for families. 3-bedroom apartment, 12/18 floor."
L100064,2024-03-27,2024-05-12,closed,rent,Kyiv,Solomianskyi,"vul. Franka, 29",50.474184,30.463946,4,12,22,49,6,352,EUR,14362,AG9140,RealtyPro,380647739971,portal_a,"Perfect for families. 4-bedroom apartment, 12/22 floor."
L100065,2024-05-14,NA,active,rent,Kyiv,Obolonskyi,"vul. Heroiv, 77",50.401385,30.58854,4,2,10,58,11,291,USD,10912,AG2081,CityRealty,380869894110,portal_b,"Great location in Kyiv. 4 rooms, 2 floor. Well renovated."
L100066,2024-05-22,2024-05-25,closed,rent,Odesa,Prymorskyi,"vul. Parkova, 19",46.514472,30.72996,5,2,16,48,10,232,EUR,9466,AG5189,CityRealty,380519326853,portal_a,"Spacious apartment near metro. 48 sq.m, 5 rooms. Excellent condition."
L100067,2024-06-11,NA,withdrawn,sale,Odesa,Prymorskyi,"vul. Bandery, 140",46.472255,30.682684,4,1,6,97,21,113134,USD,4242525,AG8313,EstateGroup,380668612523,portal_b,"Great location in Odesa. 4 rooms, 1 floor. Well renovated."
L100068,2024-03-27,NA,active,rent,Lviv,Sykhivskyi,"vul. Teatralna, 71",NA,24.026331,2,12,13,47,11,306,EUR,12485,AG7687,RealtyPro,380834767369,portal_b,"Modern design, all amenities. Sykhivskyi, 47 sq.m."
L100069,2024-01-26,NA,active,rent,Kyiv,Sviatoshynskyi,"vul. Khreshchatyk, 111",50.386796,30.458533,4,13,16,45,6,269,USD,10088,AG5041,HomeCenter,380761365166,portal_a,"Perfect for families. 4-bedroom apartment, 13/16 floor."
L100070,2024-03-16,2024-04-19,withdrawn,sale,Odesa,Malynovskyi,"vul. Bandery, 49",46.434693,30.73812,3,10,23,73,16,93990,USD,3524625,AG5193,HomeCenter,380533414738,portal_b,"Modern design, all amenities. Malynovskyi, 73 sq.m."
L100071,2024-03-14,NA,withdrawn,sale,Kyiv,Holosiivskyi,"vul. Parkova, 128",50.520843,30.592914,4,4,22,47,8,63870,USD,2395125,AG9898,HomeCenter,380692261506,portal_c,"Great location in Kyiv. 4 rooms, 4 floor. Well renovated."
L100072,2024-03-29,2024-05-04,withdrawn,sale,Kyiv,Sviatoshynskyi,"vul. Bandery, 66",NA,30.476834,4,22,22,59,NA,2249695,UAH,2249695,AG5006,CityRealty,380632060908,portal_c,"Perfect for families. 4-bedroom apartment, 9/22 floor."
L100073,2024-01-03,2024-02-18,closed,rent,Kyiv,Pecherskyi,"vul. Bandery, 68",50.424848,30.484135,3,18,25,97,21,752,EUR,30682,AG9294,EstateGroup,380772737660,portal_b,"Modern design, all amenities. Pecherskyi, 97 sq.m."
L100074,2024-05-23,NA,active,sale,Odesa,Malynovskyi,"vul. Parkova, 69",46.510034,30.755769,4,2,10,25,NA,25993,EUR,1060514,AG9426,PrimeEstate,380691585079,portal_a,"Great location in Odesa. 4 rooms, 2 floor. Well renovated."
L100075,2024-06-21,NA,active,rent,Odesa,Prymorskyi,"vul. Soborna, 89",46.460688,30.738507,4,2,18,78,16,664,USD,24900,AG5248,EstateGroup,380877665255,portal_a,"Spacious apartment near metro. 78 sq.m, 4 rooms. Excellent condition."
L100076,2024-03-05,NA,active,rent,Kyiv,Dniprovskyi,"vul. Teatralna, 91",50.409829,30.516619,2,8,13,126,21,638,EUR,26030,NA,UrbanHouse,380578090090,portal_c,"Modern design, all amenities. Dniprovskyi, 126 sq.m."
L100077,2024-02-12,NA,withdrawn,rent,Kyiv,Solomianskyi,"vul. Bandery, 31",50.434495,30.488081,3,14,16,36,6,9659,UAH,NA,AG9491,RealtyPro,380929480346,portal_c,"Spacious apartment near metro. 36 sq.m, 3 rooms. Excellent condition."
L100078,2024-04-02,NA,active,sale,Odesa,Kiiivskyi,"vul. Mira, 137",46.493126,30.706555,2,20,21,64,8,74165,EUR,3025932,AG2533,HomeCenter,380817874506,portal_b,"Modern design, all amenities. Kiiivskyi, 64 sq.m."
L100079,2024-03-31,NA,withdrawn,rent,Odesa,Suvorovskyi,"vul. Khreshchatyk, 131",46.493951,30.726807,1,15,16,48,10,334,USD,12525,NA,NA,380511454221,portal_c,Comfortable 1-room apartment in Suvorovskyi district. Total area 48 sq.m.
L100080,2024-03-22,2024-05-10,closed,sale,Kyiv,Desnianskyi,"vul. Franka, 135",50.511503,30.560145,4,20,23,62,15,62679,EUR,2557303,AG5526,PrimeEstate,380917653861,portal_a,"Modern design, all amenities. Desnianskyi, 62 sq.m."
L100081,2024-03-06,NA,active,sale,Lviv,Frankivskyi,"vul. Shevchenka, 26",NA,24.041235,5,8,8,57,7,3125667,UAH,3125667,AG9309,CityRealty,380798277739,portal_c,"Great location in Lviv. 5 rooms, 3 floor. Well renovated."
L100082,2024-02-21,NA,active,rent,Odesa,Suvorovskyi,"vul. Teatralna, 71",46.525913,30.759661,5,23,23,70,17,347,EUR,14158,AG9655,HomeCenter,380811214515,portal_a,"Perfect for families. 5-bedroom apartment, 19/23 floor."
L100083,2024-02-10,NA,active,rent,Kyiv,Obolonskyi,"vul. Sichovykh Striltsiv, 34",50.495857,30.595831,4,5,23,24,3,5805,UAH,5805,AG5042,PrimeEstate,380939089601,portal_b,"Modern design, all amenities. Obolonskyi, 24 sq.m."
L100084,2024-05-19,2024-06-16,withdrawn,sale,Kyiv,Pecherskyi,"vul. Peremohy, 98",50.437434,30.458261,3,5,6,123,NA,6362250,UAH,6362250,AG9603,PrimeEstate,380823040797,portal_c,"Spacious apartment near metro. 123 sq.m, 3 rooms. Excellent condition."
L100085,2024-03-10,2024-04-26,closed,rent,Odesa,Malynovskyi,"vul. Bandery, 23",46.473382,30.704886,1,1,7,78,16,552,USD,20700,AG6083,PrimeEstate,380863902781,portal_c,"Spacious apartment near metro. 78 sq.m, 1 rooms. Excellent condition."
L100086,2024-02-29,NA,active,rent,Lviv,Shevchenkivskyi,"vul. Franka, 57",49.838445,24.025085,2,7,12,86,NA,488,USD,NA,AG2750,UrbanHouse,380846362500,portal_c,Comfortable 2-room apartment in Shevchenkivskyi district. Total area 86 sq.m.
L100087,2024-03-23,NA,active,rent,Odesa,Malynovskyi,"vul. Sichovykh Striltsiv, 16",46.486578,30.68377,5,14,19,60,15,371,USD,13912,AG7508,EstateGroup,380838572260,portal_c,"Perfect for families. 5-bedroom apartment, 14/19 floor."
L100088,2024-03-02,NA,active,rent,Kyiv,Obolonskyi,"vul. Heroiv, 20",50.429694,30.561738,2,3,9,53,12,414,USD,15525,AG5292,RealtyPro,380817908763,portal_c,Comfortable 2-room apartment in Obolonskyi district. Total area 53 sq.m.
L100089,2024-02-26,NA,active,rent,Lviv,Lychakivskyi,"vul. Peremohy, 89",49.80949,24.052236,1,10,18,97,14,697,USD,26138,NA,NA,380678703714,portal_a,Comfortable 1-room apartment in Lychakivskyi district. Total area 97 sq.m.
L100090,2024-04-23,NA,active,sale,Lviv,Halytskyi,"vul. Mira, 90",49.858044,NA,3,2,16,NA,7,47886,USD,1795725,NA,NA,380521645080,portal_c,"Modern design, all amenities. Halytskyi, 44 sq.m."
L100091,2024-05-28,2024-06-24,closed,rent,Odesa,Malynovskyi,"vul. Heroiv, 63",46.499764,30.718739,4,12,19,52,9,13437,UAH,13437,AG9054,RealtyPro,380899738052,portal_a,"Perfect for families. 4-bedroom apartment, 12/19 floor."
L100092,2024-01-24,NA,withdrawn,sale,Odesa,Prymorskyi,"vul. Parkova, 127",46.508418,30.683283,2,3,13,110,16,140677,EUR,5739622,AG1544,CityRealty,380908661118,portal_a,"Spacious apartment near metro. 110 sq.m, 2 rooms. Excellent condition."
L100093,2024-05-02,NA,active,rent,Lviv,Sykhivskyi,"vul. Peremohy, 44",49.843043,24.00264,4,21,22,93,14,694,EUR,28315,NA,HomeCenter,380581774627,portal_b,Comfortable 4-room apartment in Sykhivskyi district. Total area 93 sq.m.
L100094,2024-01-15,2024-02-11,closed,rent,Odesa,Suvorovskyi,"vul. Bandery, 135",46.519238,30.757475,1,3,20,38,NA,334,USD,12525,NA,EstateGroup,380797212550,portal_c,"Perfect for families. 1-bedroom apartment, 3/20 floor."
L100095,2024-01-05,2024-02-04,closed,sale,Odesa,Kiiivskyi,"vul. Khreshchatyk, 100",46.459031,30.764329,3,4,8,75,17,76858,USD,2882175,AG7049,UrbanHouse,380912976697,portal_b,"Perfect for families. 3-bedroom apartment, 4/8 floor."
L100096,2024-01-11,NA,active,rent,Kyiv,Dniprovskyi,"vul. Khreshchatyk, 77",50.448948,NA,5,17,18,41,9,291,USD,10912,AG3270,RealtyPro,380797992302,portal_b,"Modern design, all amenities. Dniprovskyi, 41 sq.m."
L100097,2024-02-22,2024-03-03,closed,sale,Lviv,Zaliznychnyi,"vul. Lesi Ukrainky, 49",49.835416,24.048109,4,5,18,41,6,40922,USD,1534575,AG5628,RealtyPro,380588961321,portal_a,"Modern design, all amenities. Zaliznychnyi, 41 sq.m."
L100098,2024-01-24,2024-03-24,closed,sale,Lviv,Zaliznychnyi,"vul. Mira, 23",49.832209,24.006651,2,10,17,83,11,84302,EUR,3439522,AG5812,CityRealty,380576228216,portal_a,"Spacious apartment near metro. 83 sq.m, 2 rooms. Excellent condition."
L100099,2024-05-06,2024-05-09,closed,rent,Lviv,Frankivskyi,"vul. Khreshchatyk, 10",49.848924,23.996432,4,2,17,196,NA,1131,USD,42412,NA,NA,380807155582,portal_b,"Perfect for families. 4-bedroom apartment, 2/17 floor."
L100100,2024-05-30,NA,active,rent,Kyiv,Desnianskyi,"vul. Parkova, 45",50.39683,30.562182,5,20,21,66,14,474,EUR,19339,AG6115,PrimeEstate,380929560934,portal_a,"Spacious apartment near metro. 66 sq.m, 5 rooms. Excellent condition."
L100101,2024-06-05,NA,withdrawn,sale,Odesa,Prymorskyi,"vul. Khreshchatyk, 1",46.464558,30.739853,1,10,24,61,10,3103918,UAH,3103918,AG6970,EstateGroup,380758388545,portal_c,Comfortable 1-room apartment in Prymorskyi district. Total area 61 sq.m.
L100102,2024-05-05,2024-05-27,closed,rent,Odessa,Prymorskyi,"vul. Franka, 95",46.526357,30.69154,4,15,15,NA,NA,314,USD,11775,AG7978,HomeCenter,380614805236,portal_b,"Perfect for families. 4-bedroom apartment, 6/15 floor."
L100103,2024-04-27,2024-05-08,closed,sale,Odesa,Malynovskyi,"vul. Khreshchatyk, 143",46.506889,30.772438,5,6,9,124,30,154222,EUR,6292258,AG6415,UrbanHouse,380758366086,portal_b,"Modern design, all amenities. Malynovskyi, 124 sq.m."
L100104,2024-06-04,NA,active,rent,Odesa,Prymorskyi,"vul. Lesi Ukrainky, 140",NA,30.764264,3,15,25,39,NA,185,EUR,7548,AG8384,RealtyPro,380673785823,portal_c,"Great location in Odesa. 3 rooms, 15 floor. Well renovated."
